Position,Player Name,Team Name,Nationality,Height,Weight,Age,Condition,Overall Rating
GK,EDERSON,MAN BLUE,BRAZIL,188,86,25,C,87
GK,ALISSON,LIVERPOOL,BRAZIL,191,91,26,C,87
CMF,N. KANTÉ,LONDON FC,FRANCE,168,68,27,C,87
GK,G. BUFFON,PSG,ITALY,191,94,40,C,86
GK,S. HANDANOVIČ,INTERNAZIONALE,SLOVENIA,193,89,34,C,86
CB,L. BONUCCI,PM BLACK WHITE,ITALY,190,85,31,C,86
CB,M. BENATIA,PM BLACK WHITE,MOROCCO,188,88,31,C,86
CMF,M. HAMŠÍK,NAPOLI,SLOVAKIA,183,79,31,C,86
CMF,I. RAKITIĆ,BARCELONA,CROATIA,184,78,30,C,86
RWF,Á. DI MARÍA,PSG,ARGENTINA,180,75,30,C,86
DMF,M. PJANIĆ,PM BLACK WHITE,BOSNIA AND HERZEGOVINA,180,72,28,C,86
CF,E. DŽEKO,ROMA,BOSNIA AND HERZEGOVINA,193,84,32,C,86
GK,K. NAVAS,MD WHITE,COSTA RICA,185,78,32,C,86

CF,D. MERTENS,NAPOLI,BELGIUM,169,61,31,C,86
SS,T. MÜLLER,Free Agents,GERMANY,186,75,29,C,86
CB,N. OTAMENDI,MAN BLUE,ARGENTINA,183,81,30,C,86
CF,C. IMMOBILE,LAZIO,ITALY,184,80,28,C,86
CMF,KOKE,KB RED WHITE,SPAIN,178,73,26,C,86
LB,D. ALABA,Free Agents,AUSTRIA,180,76,26,C,86
AMF,ISCO,MD WHITE,SPAIN,176,74,26,C,86
CB,R. VARANE,MD WHITE,FRANCE,191,78,25,C,86
LB,ALEX SANDRO,PM BLACK WHITE,BRAZIL,181,76,27,C,86
CMF,P. POGBA,MAN RED,FRANCE,191,84,25,C,86
LWF,L. INSIGNE,NAPOLI,ITALY,163,59,27,C,86
LWF,S. MANÉ,LIVERPOOL,SENEGAL,175,69,26,C,86
AMF,N. FEKIR,OLYMPIQUE LYONNAIS,FRANCE,173,72,25,C,86
CMF,SAÚL,KB RED WHITE,SPAIN,181,70,24,C,86
CF,ROBERTO FIRMINO,LIVERPOOL,BRAZIL,181,76,27,C,86
RB,J. KIMMICH,Free Agents,GERMANY,176,73,23,C,86
RWF,K. MBAPPÉ,PSG,FRANCE,178,73,20,C,86
CB,V. KOMPANY,MAN BLUE,BELGIUM,193,85,32,C,85
CMF,FÀBREGAS,LONDON FC,SPAIN,180,77,31,C,85
LB,FILIPE LUIS,KB RED WHITE,BRAZIL,183,73,33,C,85
CMF,FERNANDINHO,MAN BLUE,BRAZIL,179,67,33,C,85
CB,MIRANDA,INTERNAZIONALE,BRAZIL,186,78,34,C,85
CB,AZPILICUETA,LONDON FC,SPAIN,178,78,29,C,85
RWF,WILLIAN,LONDON FC,BRAZIL,175,77,30,C,85
CB,T. ALDERWEIRELD,NORTH EAST LONDON,BELGIUM,186,81,29,C,85
RMF,H. MKHITARYAN,ARSENAL,ARMENIA,177,75,29,C,85
CB,K. MANOLAS,ROMA,GREECE,189,83,27,C,85
DMF,N. MATIĆ,MAN RED,SERBIA,194,85,30,C,85
LB,JORDI ALBA,BARCELONA,SPAIN,170,68,29,C,85
CF,A. LACAZETTE,ARSENAL,FRANCE,175,73,27,C,85
GK,W. SZCZĘSNY,PM BLACK WHITE,POLAND,196,85,28,C,85
CMF,R. NAINGGOLAN,INTERNAZIONALE,BELGIUM,176,65,30,C,85

GK,B. LENO,ARSENAL,GERMANY,190,83,26,C,85
RWF,R. STERLING,MAN BLUE,ENGLAND,170,69,24,C,85
CB,MARQUINHOS,PSG,BRAZIL,183,75,24,C,85
CMF,M. VERRATTI,PSG,ITALY,165,60,26,C,85
RMF,F. THAUVIN,OLYMPIQUE MARSEILLE,FRANCE,179,70,25,C,85
CB,K. KOULIBALY,NAPOLI,SENEGAL,187,89,27,C,85
LWF,L. SANÉ,MAN BLUE,GERMANY,183,75,22,C,85
CF,GABRIEL JESUS,MAN BLUE,BRAZIL,175,73,21,C,85
CMF,S. M. SAVIĆ,LAZIO,SERBIA,192,82,23,C,85
CF,T. WERNER,Free Agents,GERMANY,180,75,22,C,85
CB,A. BARZAGLI,PM BLACK WHITE,ITALY,187,88,37,C,84
CB,PEPE,BEŞİKTAŞ,PORTUGAL,188,81,35,C,84
CF,R. FALCAO,MONACO,COLOMBIA,177,72,32,C,84
CMF,B. MATUIDI,PM BLACK WHITE,FRANCE,175,70,31,C,84
CMF,M. DEMBÉLÉ,NORTH EAST LONDON,BELGIUM,185,82,31,C,84
CB,NALDO,SCHALKE 04,BRAZIL,198,91,36,C,84
GK,R. JARSTEIN,Free Agents,NORWAY,190,82,34,C,84
AMF,D. PAYET,OLYMPIQUE MARSEILLE,FRANCE,175,77,31,C,84
GK,RUI PATRÍCIO,WM GOLD,PORTUGAL,190,84,30,C,84
CB,J. VERTONGHEN,NORTH EAST LONDON,BELGIUM,189,86,31,C,84
GK,S. RUFFIER,SAINT-ÉTIENNE,FRANCE,188,93,32,C,84
CB,F. FAZIO,ROMA,ARGENTINA,195,85,31,C,84
CB,SOKRATIS P.,ARSENAL,GREECE,186,85,30,C,84
CF,M. BALOTELLI,NICE,ITALY,189,88,28,C,84
CMF,A. RAMSEY,ARSENAL,WALES,178,76,28,C,84
RWF,JOSÉ CALLEJÓN,NAPOLI,SPAIN,178,73,31,C,84
LMF,I. PERIŠIĆ,INTERNAZIONALE,CROATIA,186,79,29,C,84
CF,O. GIROUD,LONDON FC,FRANCE,192,88,32,C,84
CMF,DANI PAREJO,ED WHITE ORANGE,SPAIN,180,73,29,C,84
CB,L. KOSCIELNY,ARSENAL,FRANCE,186,75,33,C,84
GK,M. PERIN,PM BLACK WHITE,ITALY,188,77,26,C,84
RMF,JUAN CUADRADO,PM BLACK WHITE,COLOMBIA,179,71,30,C,84

CB,S. DE VRIJ,INTERNAZIONALE,NETHERLANDS,188,78,26,C,84
GK,ANTHONY LOPES,OLYMPIQUE LYONNAIS,PORTUGAL,184,81,28,C,84
RB,K. WALKER,MAN BLUE,ENGLAND,178,70,28,C,84
SS,A. GÓMEZ,ATALANTA,ARGENTINA,165,68,30,C,84
LMF,SON HEUNG-MIN,NORTH EAST LONDON,REPUBLIC OF KOREA,183,79,26,C,84
CMF,G. KONDOGBIA,ED WHITE ORANGE,FRANCE,188,76,25,C,84
CF,ÁLVARO MORATA,LONDON FC,SPAIN,189,85,26,C,84
DMF,LUIZ GUSTAVO,OLYMPIQUE MARSEILLE,BRAZIL,187,78,31,C,84
GK,NETO,ED WHITE ORANGE,BRAZIL,192,84,29,C,84
CF,M. BATSHUAYI,ED WHITE ORANGE,BELGIUM,184,88,25,C,84
CMF,İ. GÜNDOĞAN,MAN BLUE,GERMANY,180,80,28,C,84
LWF,J. DRAXLER,PSG,GERMANY,187,76,25,C,84
GK,R. FÄHRMANN,SCHALKE 04,GERMANY,196,95,30,C,84
AMF,H. ZIYECH,AJAX,MOROCCO,183,68,25,C,84
GK,J. PICKFORD,MERSEYSIDE BLUE,ENGLAND,185,77,24,C,84
RB,DANIEL CARVAJAL,MD WHITE,SPAIN,173,73,26,C,84
CB,J. GIMÉNEZ,KB RED WHITE,URUGUAY,185,80,23,C,84
CMF,L. GORETZKA,Free Agents,GERMANY,189,79,23,C,84
RMF,R. MAHREZ,MAN BLUE,ALGERIA,179,67,27,C,84
DMF,FABINHO,LIVERPOOL,BRAZIL,188,78,25,C,84
DMF,T. PARTEY,KB RED WHITE,GHANA,185,78,25,C,84
LMF,MARCO ASENSIO,MD WHITE,SPAIN,180,75,22,C,84
RWF,BERNARDO SILVA,MAN BLUE,PORTUGAL,173,64,24,C,84
AMF,D. ALLI,NORTH EAST LONDON,ENGLAND,188,76,22,C,84
LWF,L. BAILEY,BAYER LEVERKUSEN,JAMAICA,180,75,21,C,84
CB,N. SÜLE,Free Agents,GERMANY,195,97,23,C,84
GK,P. ČECH,ARSENAL,CZECH REPUBLIC,196,90,36,C,83
DMF,D. DE ROSSI,ROMA,ITALY,184,83,35,C,83
CB,ALBIOL,NAPOLI,SPAIN,190,82,33,C,83
RB,DANI ALVES,PSG,BRAZIL,172,68,35,C,83
RB,A. VALENCIA,MAN RED,ECUADOR,180,83,33,C,83
SS,JONAS,BENFICA,BRAZIL,181,74,34,C,83

DMF,L. BIGLIA,MILAN,ARGENTINA,178,63,32,C,83
CF,M. ARNAUTOVIĆ,EAST LONDON,AUSTRIA,192,83,29,C,83
CMF,C. MARCHISIO,ZENIT,ITALY,180,75,32,C,83
AMF,É. BANEGA,AN WHITE RED,ARGENTINA,173,73,30,C,83
GK,Y. SOMMER,Free Agents,SWITZERLAND,183,79,30,C,83
CF,M. MANDŽUKIĆ,PM BLACK WHITE,CROATIA,190,86,32,C,83
GK,S. MANDANDA,OLYMPIQUE MARSEILLE,FRANCE,185,82,33,C,83
CMF,G. BONAVENTURA,MILAN,ITALY,180,75,29,C,83
CMF,K. STROOTMAN,OLYMPIQUE MARSEILLE,NETHERLANDS,186,78,28,C,83
GK,D. SUBAŠIĆ,MONACO,CROATIA,191,84,34,C,83
AMF,J. PASTORE,ROMA,ARGENTINA,187,78,29,C,83
DMF,S. NZONZI,ROMA,FRANCE,196,75,30,C,83
CMF,S. KHEDIRA,PM BLACK WHITE,GERMANY,189,93,31,C,83
CB,B. HÖWEDES,LOKOMOTIV MOSKVA,GERMANY,187,82,30,C,83
DMF,G. XHAKA,ARSENAL,SWITZERLAND,185,82,26,C,83
CF,RODRIGO,ED WHITE ORANGE,SPAIN,182,70,27,C,83
GK,A. AREOLA,PSG,FRANCE,195,94,25,C,83
LB,F. GHOULAM,NAPOLI,ALGERIA,188,80,27,C,83
LMF,MARCOS ALONSO,LONDON FC,SPAIN,188,84,28,C,83
CB,S. SAVIĆ,KB RED WHITE,MONTENEGRO,186,73,27,C,83
AMF,G. SIGURÐSSON,MERSEYSIDE BLUE,ICELAND,186,79,29,C,83
RWF,SUSO,MILAN,SPAIN,176,70,25,C,83
LWF,M. DEPAY,OLYMPIQUE LYONNAIS,NETHERLANDS,176,78,24,C,83
CMF,A. RABIOT,PSG,FRANCE,189,71,23,C,83
CB,A. LAPORTE,MAN BLUE,FRANCE,191,86,24,C,83
CB,J. STONES,MAN BLUE,ENGLAND,188,70,24,C,83
LMF,Y. CARRASCO,Free Agents,BELGIUM,180,71,25,C,83
CMF,FRED,MAN RED,BRAZIL,169,62,25,C,83
DMF,JORGINHO,LONDON FC,ITALY,180,65,27,C,83
RWF,VITOLO,KB RED WHITE,SPAIN,184,80,29,C,83
CF,W. ZAHA,SOUTH NORWOOD,CÔTE D'IVOIRE,180,66,26,C,83
CMF,C. TOLISSO,Free Agents,FRANCE,181,78,24,C,83

CB,M. GINTER,Free Agents,GERMANY,188,83,24,C,83
SS,LUIS ALBERTO,LAZIO,SPAIN,182,70,26,C,83
LWF,Q. PROMES,AN WHITE RED,NETHERLANDS,174,71,26,C,83
RWF,F. BERNARDESCHI,PM BLACK WHITE,ITALY,183,75,24,C,83
CF,J. VARDY,EAST MIDLANDS,ENGLAND,179,74,31,C,83
CMF,N. KEÏTA,LIVERPOOL,GUINEA,172,64,23,C,83
LMF,T. LEMAR,KB RED WHITE,FRANCE,170,58,23,C,83
RWF,LUCAS VÁZQUEZ,MD WHITE,SPAIN,173,70,27,C,83
CB,E. BAILLY,MAN RED,CÔTE D'IVOIRE,187,77,24,C,83
LWF,GONÇALO GUEDES,ED WHITE ORANGE,PORTUGAL,179,68,22,C,83
GK,G. DONNARUMMA,MILAN,ITALY,196,90,19,C,83
RWF,O. DEMBÉLÉ,BARCELONA,FRANCE,178,67,21,C,83
CB,M. ŠKRINIAR,INTERNAZIONALE,SLOVAKIA,188,80,23,C,83
LWF,H. LOZANO,PSV,MEXICO,177,70,23,C,83
RWF,HULK,SHANGHAI SIPG,BRAZIL,180,85,32,C,83
CF,A. MODESTE,TIANJIN QUANJIAN,FRANCE,187,82,30,C,83
GK,PEPE REINA,MILAN,SPAIN,188,92,36,C,82
RWF,R. QUARESMA,BEŞİKTAŞ,PORTUGAL,175,67,35,C,82
CMF,M. FERNANDES,LOKOMOTIV MOSKVA,PORTUGAL,176,75,32,C,82
GK,K. SCHMEICHEL,EAST MIDLANDS,DENMARK,189,89,32,C,82
CF,M. GÓMEZ,Free Agents,GERMANY,189,89,33,C,82
LB,L. BAINES,MERSEYSIDE BLUE,ENGLAND,170,74,34,C,82
CB,G. CAHILL,LONDON FC,ENGLAND,193,86,33,C,82
RMF,T. WALCOTT,MERSEYSIDE BLUE,ENGLAND,176,68,29,C,82
GK,E. VIVIANO,SPORTING CP,ITALY,195,90,33,C,82
CB,E. GARAY,ED WHITE ORANGE,ARGENTINA,188,80,32,C,82
LB,NACHO MONREAL,ARSENAL,SPAIN,179,72,32,C,82
DMF,LUCAS LEIVA,LAZIO,BRAZIL,179,74,31,C,82
CMF,G. WIJNALDUM,LIVERPOOL,NETHERLANDS,175,69,28,C,82
GK,F. MUSLERA,GALATASARAY,URUGUAY,190,84,32,C,82
LB,A. KOLAROV,ROMA,SERBIA,187,83,33,C,82
LMF,Y. BRAHIMI,PORTO,ALGERIA,172,68,28,C,82

CB,A. RAMI,OLYMPIQUE MARSEILLE,FRANCE,190,88,33,C,82
CB,M. SAKHO,SOUTH NORWOOD,FRANCE,187,83,28,C,82
LB,D. ROSE,NORTH EAST LONDON,ENGLAND,173,72,28,C,82
GK,SERGIO ASENJO,ED YELLOW,SPAIN,189,87,29,C,82
CMF,A. WITSEL,Free Agents,BELGIUM,186,73,29,C,82
AMF,TAISON,SHAKHTAR DONETSK,BRAZIL,172,68,30,C,82
LWF,S. EL SHAARAWY,ROMA,ITALY,178,72,26,C,82
DMF,G. MEDEL,BEŞİKTAŞ,CHILE,171,71,31,C,82
CMF,M. PAROLO,LAZIO,ITALY,186,82,33,C,82
RMF,X. SHAQIRI,LIVERPOOL,SWITZERLAND,169,72,27,C,82
LWF,D. PEROTTI,ROMA,ARGENTINA,179,70,30,C,82
RB,Š. VRSALJKO,INTERNAZIONALE,CROATIA,183,73,26,C,82
AMF,R. CABELLA,SAINT-ÉTIENNE,FRANCE,171,68,28,C,82
CB,J. MATIP,LIVERPOOL,CAMEROON,195,90,27,C,82
CB,K. GLIK,MONACO,POLAND,190,80,30,C,82
CB,NACHO,MD WHITE,SPAIN,179,75,28,C,82
AMF,J. ILIČIĆ,ATALANTA,SLOVENIA,190,79,30,C,82
RB,SERGI ROBERTO,BARCELONA,SPAIN,178,68,26,C,82
CB,S. SANÉ,SCHALKE 04,SENEGAL,196,85,28,C,82
CMF,M. KOVAČIĆ,LONDON FC,CROATIA,181,77,24,C,82
GK,L. HRADECKY,BAYER LEVERKUSEN,FINLAND,190,79,29,C,82
GK,C. TĂTĂRUŞANU,NANTES,ROMANIA,198,90,32,C,82
CB,Ö. TOPRAK,Free Agents,TURKEY,186,83,29,C,82
AMF,FELIPE ANDERSON,EAST LONDON,BRAZIL,175,69,25,C,82
DMF,V. WANYAMA,NORTH EAST LONDON,KENYA,188,80,27,C,82
CB,S. MUSTAFI,ARSENAL,GERMANY,184,82,26,C,82
CB,M. NASTASIĆ,SCHALKE 04,SERBIA,188,83,25,C,82
RB,S. ARIAS,KB RED WHITE,COLOMBIA,175,72,26,C,82
CMF,A.O.CHAMBERLAIN,LIVERPOOL,ENGLAND,180,70,25,C,82
DMF,L. PAREDES,ZENIT,ARGENTINA,180,75,24,C,82
CMF,ALLAN,NAPOLI,BRAZIL,175,74,27,C,82
GK,F. ARMANI,RIVER PLATE,ARGENTINA,189,88,32,C,82

RMF,ÉVERTON RIBEIRO,FLAMENGO,BRAZIL,174,69,29,B,82
RB,D. SIDIBÉ,MONACO,FRANCE,182,71,26,C,82
GK,J. BUTLAND,ST RED,ENGLAND,196,95,25,C,82
RWF,IAGO ASPAS,GA CYAN,SPAIN,175,67,31,C,82
CMF,E. CAN,PM BLACK WHITE,GERMANY,184,82,24,C,82
RB,A. FLORENZI,ROMA,ITALY,173,67,27,C,82
CB,A. ROMAGNOLI,MILAN,ITALY,188,78,23,C,82
GK,KEPA,LONDON FC,SPAIN,186,85,24,C,82
DMF,E. DIER,NORTH EAST LONDON,ENGLAND,188,88,24,C,82
LMF,A. MARTIAL,MAN RED,FRANCE,181,76,23,C,82
CMF,TRIGUEROS,ED YELLOW,SPAIN,178,70,27,C,82
GK,R. BÜRKI,Free Agents,SWITZERLAND,187,85,28,C,82
LB,B. MENDY,MAN BLUE,FRANCE,185,85,24,C,82
RMF,K. BALDÉ,INTERNAZIONALE,SENEGAL,181,77,23,C,82
CMF,J. SERI,WEST LONDON WHITE,CÔTE D'IVOIRE,168,65,27,C,82
LWF,J. BRANDT,BAYER LEVERKUSEN,GERMANY,185,82,22,C,82
LB,JOSÉ GAYÁ,ED WHITE ORANGE,SPAIN,169,62,23,C,82
RB,HECTOR BELLERÍN,ARSENAL,SPAIN,178,74,23,C,82
CF,A. BELOTTI,TORINO,ITALY,181,72,25,C,82
RMF,RONY LOPES,MONACO,PORTUGAL,169,72,23,C,82
LWF,H. ÇALHANOĞLU,MILAN,TURKEY,178,76,24,C,82
RWF,MALCOM,BARCELONA,BRAZIL,171,67,21,C,82
LMF,E. FORSBERG,Free Agents,SWEDEN,179,78,27,C,82
RWF,MARLOS,SHAKHTAR DONETSK,UKRAINE,173,69,30,C,82
CB,D. RUGANI,PM BLACK WHITE,ITALY,190,81,24,C,82
CB,P. KIMPEMBE,PSG,FRANCE,183,71,23,C,82
CB,A. CHRISTENSEN,LONDON FC,DENMARK,188,78,22,C,82
CB,C. LENGLET,BARCELONA,FRANCE,186,81,23,C,82
CB,D. SÁNCHEZ,NORTH EAST LONDON,COLOMBIA,187,81,22,C,82
CB,A. RÜDIGER,LONDON FC,GERMANY,190,85,25,C,82
CB,L. HERNANDEZ,KB RED WHITE,FRANCE,184,75,22,C,82
RWF,C. PAVÓN,BOCA JUNIORS,ARGENTINA,167,65,22,C,82

RMF,D. CALIGIURI,SCHALKE 04,ITALY,182,79,30,C,82
CB,D. DAKONAM,MD COBALT BLUE,TOGO,178,71,27,C,82
CMF,G. LO CELSO,AN GREEN WHITE,ARGENTINA,177,69,22,C,82
AMF,PABLO FORNALS,ED YELLOW,SPAIN,179,67,22,C,82
DMF,RODRI,KB RED WHITE,SPAIN,190,78,22,C,82
CF,M. DÍAZ,MD WHITE,DOMINICAN REPUBLIC,182,75,25,C,82
CMF,A. GOLOVIN,MONACO,RUSSIA,180,69,22,C,82
CB,J. TAH,BAYER LEVERKUSEN,GERMANY,194,95,22,C,82
AMF,W. SNEIJDER,AL GHARAFA,NETHERLANDS,170,72,34,C,82
CMF,A. WITSEL,TIANJIN QUANJIAN,BELGIUM,186,73,29,C,82
GK,CASILLAS,PORTO,SPAIN,185,84,37,C,81
CMF,E. BELÖZOĞLU,İSTANBUL BAŞAKŞEHİR,TURKEY,170,66,38,C,81
SS,C. TEVEZ,BOCA JUNIORS,ARGENTINA,173,71,34,C,81
CMF,J. MILNER,LIVERPOOL,ENGLAND,175,70,32,C,81
LWF,R. BABEL,BEŞİKTAŞ,NETHERLANDS,185,84,32,C,81
DMF,L. PONZIO,RIVER PLATE,ARGENTINA,174,71,36,C,81
RB,JUANFRAN,KB RED WHITE,SPAIN,180,72,33,C,81
CB,L. PERRIN,SAINT-ÉTIENNE,FRANCE,181,80,33,C,81
CMF,JOÃO MOUTINHO,WM GOLD,PORTUGAL,170,61,32,C,81
AMF,RAÚL GARCÍA,PV WHITE RED,SPAIN,184,81,32,C,81
GK,MOYÀ,PV BLUE WHITE,SPAIN,189,82,34,C,81
LWF,A. TURAN,İSTANBUL BAŞAKŞEHİR,TURKEY,175,76,31,C,81
CF,F. QUAGLIARELLA,SAMPDORIA,ITALY,180,79,35,C,81
RB,S. LICHTSTEINER,ARSENAL,SWITZERLAND,182,74,34,C,81
CF,ADURIZ,PV WHITE RED,SPAIN,182,78,37,C,81
CMF,BORJA VALERO,INTERNAZIONALE,SPAIN,175,75,33,C,81
CMF,A. GUARDADO,AN GREEN WHITE,MEXICO,169,67,32,C,81
GK,Ł. FABIAŃSKI,EAST LONDON,POLAND,190,83,33,C,81
CMF,R. VORMER,CLUB BRUGGE,NETHERLANDS,178,80,30,C,81
DMF,BRUNO,ED YELLOW,SPAIN,184,74,34,C,81
CMF,BEÑAT,PV WHITE RED,SPAIN,175,72,31,C,81
CF,LUIZ ADRIANO,SPARTAK MOSKVA,BRAZIL,183,71,31,C,81

CB,V. ĆORLUKA,LOKOMOTIV MOSKVA,CROATIA,192,84,32,C,81
CB,B. IVANOVIĆ,ZENIT,SERBIA,185,91,34,C,81
LB,D. CRISCITO,GENOA,ITALY,183,75,32,C,81
RMF,MATA,MAN RED,SPAIN,170,63,30,C,81
CMF,ADRIEN SILVA,EAST MIDLANDS,PORTUGAL,175,69,29,C,81
DMF,L. FEJSA,BENFICA,SERBIA,185,81,30,C,81
RMF,A. CANDREVA,INTERNAZIONALE,ITALY,180,72,31,C,81
DMF,Y. M'VILA,SAINT-ÉTIENNE,FRANCE,182,82,28,C,81
LB,K. ASAMOAH,INTERNAZIONALE,GHANA,173,76,30,C,81
CB,N. N'KOULOU,TORINO,CAMEROON,184,77,28,C,81
AMF,R. BOUDEBOUZ,AN GREEN WHITE,ALGERIA,177,74,28,C,81
CF,I. SCOCCO,RIVER PLATE,ARGENTINA,177,73,33,C,81
RWF,A. YARMOLENKO,EAST LONDON,UKRAINE,190,83,29,C,81
CB,D. LOVREN,LIVERPOOL,CROATIA,188,84,29,C,81
RWF,PEDRO,LONDON FC,SPAIN,169,65,31,C,81
CMF,J. WILSHERE,EAST LONDON,ENGLAND,172,68,26,C,81
GK,J. CILLESSEN,BARCELONA,NETHERLANDS,185,83,29,C,81
CMF,A. DZAGOEV,CSKA MOSKVA,RUSSIA,179,75,28,C,81
GK,J. ZOET,PSV,NETHERLANDS,186,76,27,C,81
RMF,V. MOSES,LONDON FC,NIGERIA,177,79,28,C,81
CB,MARCELO,OLYMPIQUE LYONNAIS,BRAZIL,191,85,31,C,81
CF,A. KOKORIN,ZENIT,RUSSIA,181,74,27,C,81
RB,Ł. PISZCZEK,Free Agents,POLAND,184,79,33,C,81
CB,C. SMALLING,MAN RED,ENGLAND,194,81,29,C,81
RB,S. COLEMAN,MERSEYSIDE BLUE,IRELAND,177,67,30,C,81
CMF,J. HENDERSON,LIVERPOOL,ENGLAND,182,67,28,C,81
CMF,ANDER HERRERA,MAN RED,SPAIN,182,70,29,C,81
GK,ADÁN,KB RED WHITE,SPAIN,191,88,31,C,81
RWF,S. VERDI,NAPOLI,ITALY,171,62,26,C,81
RWF,E. SALVIO,BENFICA,ARGENTINA,173,71,28,C,81
CB,M. ROJO,MAN RED,ARGENTINA,187,80,28,C,81
LB,N. TAGLIAFICO,AJAX,ARGENTINA,172,65,26,C,81

CF,C. BACCA,ED YELLOW,COLOMBIA,181,77,32,C,81
CB,P. JONES,MAN RED,ENGLAND,180,71,26,C,81
CB,G. MERCADO,AN WHITE RED,ARGENTINA,180,83,31,C,81
AMF,M. LANZINI,EAST LONDON,ARGENTINA,167,59,25,C,81
GK,B. LECOMTE,MONTPELLIER,FRANCE,186,78,27,C,81
DMF,ILLARRAMENDI,PV BLUE WHITE,SPAIN,179,76,28,C,81
CB,BARTRA,AN GREEN WHITE,SPAIN,184,73,27,C,81
RWF,LUCAS MOURA,NORTH EAST LONDON,BRAZIL,172,72,26,C,81
DMF,DANILO PEREIRA,PORTO,PORTUGAL,188,83,27,C,81
RMF,PABLO SARABIA,AN WHITE RED,SPAIN,174,70,26,C,81
LMF,Y. KONOPLYANKA,SCHALKE 04,UKRAINE,178,78,29,C,81
DMF,L. BENDER,BAYER LEVERKUSEN,GERMANY,185,81,29,C,81
LB,R. RODRÍGUEZ,MILAN,SWITZERLAND,180,77,26,C,81
RB,MARIANO,GALATASARAY,BRAZIL,177,70,32,C,81
